1,9245,0,2,1
2,8362,0,1,1
3,7938,0,0,1
4,3418,0,2,1
5,0253,0,2,1
6,7054,1,1,1
7,4592,0,2,1
8,2104,4,0,1
9,9231,1,0,2
10,8504,1,0,3
11,6731,3,0,3
12,5061,1,2,3
13,4513,0,1,3
14,6532,1,0,3
15,7312,0,2,3
16,5470,0,2,3
17,6205,2,0,3
18,1964,0,2,3
19,6701,4,0,3
20,5301,2,0,4
21,8209,1,0,4
22,9415,0,1,4
23,0254,0,1,4
24,8367,0,2,4
25,0943,4,0,5
26,9204,0,1,6
27,7958,2,0,6
28,6953,4,0,6
29,6947,2,0,7
30,2370,0,1,7
31,6429,1,1,7
32,9843,1,1,7
33,6827,1,0,7
34,0819,0,1,7
35,0684,0,1,7
36,6735,1,2,8
37,3184,0,1,8
38,9385,0,3,8
39,1742,0,0,8
40,2915,1,1,8
41,7098,0,1,8
42,0635,0,3,8
43,7932,1,1,8
44,6359,0,2,9
45,4637,4,0,9
46,0379,0,0,10
47,5240,0,3,11
48,3759,0,1,11
49,2906,1,0,11
50,5918,0,2,11
51,0539,0,1,11
52,0857,0,2,11
53,8354,0,3,11
54,8906,0,1,11
55,1573,0,1,11
56,2485,4,0,11
57,8402,0,1,12
58,8516,1,0,12
59,5482,0,1,12
60,4071,0,1,12
61,2410,0,1,12
62,6382,1,1,12
63,3650,0,2,12
64,0628,0,1,12
65,4120,0,1,12
66,8016,0,1,13
67,4830,0,1,13
68,6730,0,0,13
69,6874,1,0,13
70,2167,0,1,13
71,7146,0,2,14
72,2510,1,1,14
73,8079,0,1,14
74,2671,0,1,14
75,1730,1,0,14
76,4708,0,1,14
77,1594,4,0,14
78,3621,2,0,15
79,3256,1,0,15
80,0278,0,1,15
81,3052,1,0,15
82,0256,0,0,15
83,7612,0,1,16
84,8392,0,3,16
85,8357,0,2,16
86,2967,1,0,16
87,2310,0,2,16
88,2804,0,1,16
89,9247,0,1,17
90,3425,1,0,17
91,5190,0,2,17
92,6792,0,1,17
93,3214,0,2,18
94,8465,1,1,19
95,2517,0,2,19
96,4638,1,1,19
97,8751,1,0,19
98,8370,0,1,19
99,8327,0,2,19
100,7146,0,3,19
101,1084,0,1,19
102,4762,4,0,19
103,6701,1,1,20
104,0529,0,1,20
105,2501,0,1,20
106,2438,0,0,21
107,0192,0,2,21
108,5491,0,1,21
109,7365,0,2,21
110,5984,0,1,21
111,2370,1,1,21
